GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; With own children under 18 years:,Margin of Error; With own children under 18 years:,"Estimate; With own children under 18 years: - Householder worked full-time, year-round in the past 12 months:","Margin of Error; With own children under 18 years: - Householder worked full-time, year-round in the past 12 months:","Estimate; With own children under 18 years: - Householder worked full-time, year-round in the past 12 months: - Spouse worked full-time, year-round in the past 12 months","Margin of Error; With own children under 18 years: - Householder worked full-time, year-round in the past 12 months: - Spouse worked full-time, year-round in the past 12 months","Estimate; With own children under 18 years: - Householder worked full-time, year-round in the past 12 months: - Spouse worked less than full-time, year-round in the past 12 months","Margin of Error; With own children under 18 years: - Householder worked full-time, year-round in the past 12 months: - Spouse worked less than full-time, year-round in the past 12 months","Estimate; With own children under 18 years: - Householder worked full-time, year-round in the past 12 months: - Spouse did not work in the past 12 months","Margin of Error; With own children under 18 years: - Householder worked full-time, year-round in the past 12 months: - Spouse did not work in the past 12 months","Estimate; With own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months:","Margin of Error; With own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months:","Estimate; With own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months: - Spouse worked full-time, year-round in the past 12 months","Margin of Error; With own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months: - Spouse worked full-time, year-round in the past 12 months","Estimate; With own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months: - Spouse worked less than full-time, year-round in the past 12 months","Margin of Error; With own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months: - Spouse worked less than full-time, year-round in the past 12 months","Estimate; With own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months: - Spouse did not work in the past 12 months","Margin of Error; With own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months: - Spouse did not work in the past 12 months",Estimate; With own children under 18 years: - Householder did not work in the past 12 months:,Margin of Error; With own children under 18 years: - Householder did not work in the past 12 months:,"Estimate; With own children under 18 years: - Householder did not work in the past 12 months: - Spouse worked full-time, year-round in the past 12 months","Margin of Error; With own children under 18 years: - Householder did not work in the past 12 months: - Spouse worked full-time, year-round in the past 12 months","Estimate; With own children under 18 years: - Householder did not work in the past 12 months: - Spouse worked less than full-time, year-round in the past 12 months","Margin of Error; With own children under 18 years: - Householder did not work in the past 12 months: - Spouse worked less than full-time, year-round in the past 12 months",Estimate; With own children under 18 years: - Householder did not work in the past 12 months: - Spouse did not work in the past 12 months,Margin of Error; With own children under 18 years: - Householder did not work in the past 12 months: - Spouse did not work in the past 12 months,Estimate; No own children under 18 years:,Margin of Error; No own children under 18 years:,"Estimate; No own children under 18 years: - Householder worked full-time, year-round in the past 12 months:","Margin of Error; No own children under 18 years: - Householder worked full-time, year-round in the past 12 months:","Estimate; No own children under 18 years: - Householder worked full-time, year-round in the past 12 months: - Spouse worked full-time, year-round in the past 12 months","Margin of Error; No own children under 18 years: - Householder worked full-time, year-round in the past 12 months: - Spouse worked full-time, year-round in the past 12 months","Estimate; No own children under 18 years: - Householder worked full-time, year-round in the past 12 months: - Spouse worked less than full-time, year-round in the past 12 months","Margin of Error; No own children under 18 years: - Householder worked full-time, year-round in the past 12 months: - Spouse worked less than full-time, year-round in the past 12 months","Estimate; No own children under 18 years: - Householder worked full-time, year-round in the past 12 months: - Spouse did not work in the past 12 months","Margin of Error; No own children under 18 years: - Householder worked full-time, year-round in the past 12 months: - Spouse did not work in the past 12 months","Estimate; No own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months:","Margin of Error; No own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months:","Estimate; No own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months: - Spouse worked full-time, year-round in the past 12 months","Margin of Error; No own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months: - Spouse worked full-time, year-round in the past 12 months","Estimate; No own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months: - Spouse worked less than full-time, year-round in the past 12 months","Margin of Error; No own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months: - Spouse worked less than full-time, year-round in the past 12 months","Estimate; No own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months: - Spouse did not work in the past 12 months","Margin of Error; No own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months: - Spouse did not work in the past 12 months",Estimate; No own children under 18 years: - Householder did not work in the past 12 months:,Margin of Error; No own children under 18 years: - Householder did not work in the past 12 months:,"Estimate; No own children under 18 years: - Householder did not work in the past 12 months: - Spouse worked full-time, year-round in the past 12 months","Margin of Error; No own children under 18 years: - Householder did not work in the past 12 months: - Spouse worked full-time, year-round in the past 12 months","Estimate; No own children under 18 years: - Householder did not work in the past 12 months: - Spouse worked less than full-time, year-round in the past 12 months","Margin of Error; No own children under 18 years: - Householder did not work in the past 12 months: - Spouse worked less than full-time, year-round in the past 12 months",Estimate; No own children under 18 years: - Householder did not work in the past 12 months: - Spouse did not work in the past 12 months,Margin of Error; No own children under 18 years: - Householder did not work in the past 12 months: - Spouse did not work in the past 12 months
0500000US41003,41003,"Benton County, Oregon",15564,1379,6406,946,3601,869,1406,585,1500,607,695,571,1732,554,1127,459,470,290,135,157,1073,441,627,330,139,137,307,253,9158,984,3252,659,1346,465,965,389,941,437,2354,647,776,392,893,394,685,290,3552,647,543,330,582,385,2427,552
0500000US41005,41005,"Clackamas County, Oregon",82632,3314,33768,2320,20969,2259,9599,1548,6190,1309,5180,1309,9701,1479,5636,991,2719,894,1346,691,3098,930,2722,914,207,157,169,138,48864,2663,20197,1979,10560,1386,5477,1110,4160,941,8422,1459,3452,840,2515,719,2455,747,20245,1461,3701,882,2194,723,14350,1407
0500000US41017,41017,"Deschutes County, Oregon",32201,2728,10668,1679,5971,1271,3302,1009,1760,717,909,683,3780,1200,2334,815,901,564,545,482,917,491,550,419,261,268,106,181,21533,2195,5449,1393,2240,742,1456,655,1753,1122,5175,1182,1846,804,1608,603,1721,599,10909,1329,949,436,1086,562,8874,1219
0500000US41019,41019,"Douglas County, Oregon",21342,1680,6591,1091,2872,936,1764,791,673,393,435,284,2066,764,1378,619,445,275,243,181,1653,765,933,526,720,583,0,200,14751,1437,3476,937,1393,534,1000,435,1083,597,3136,873,1297,628,722,349,1117,429,8139,1039,1137,445,1476,663,5526,830
0500000US41029,41029,"Jackson County, Oregon",40325,2920,12259,2037,5900,1309,3511,1070,1377,536,1012,638,4674,1387,2496,1129,1100,660,1078,937,1685,665,1211,596,442,407,32,56,28066,1948,9108,1441,4279,1161,2596,690,2233,788,6181,1286,1866,745,2272,818,2043,685,12777,1409,2018,775,1169,466,9590,1326
0500000US41033,41033,"Josephine County, Oregon",16102,1819,4183,1110,2326,793,716,414,762,456,848,471,757,391,451,321,274,239,32,58,1100,604,531,346,212,256,357,421,11919,1257,3309,853,1372,629,862,465,1075,533,1739,634,449,387,640,339,650,345,6871,1052,676,455,898,403,5297,1072
0500000US41035,41035,"Klamath County, Oregon",13809,1503,4992,1086,2667,709,1332,513,982,475,353,198,1563,601,543,316,560,368,460,361,762,366,517,272,54,68,191,190,8817,1028,2378,708,1102,489,645,327,631,276,2010,554,808,374,612,391,590,352,4429,765,857,482,485,264,3087,606
0500000US41039,41039,"Lane County, Oregon",64030,2819,20585,2031,11411,1512,5680,1308,3571,902,2160,661,6171,1139,3989,827,1398,509,784,342,3003,1013,1849,639,799,616,355,300,43445,2539,15255,1733,6734,1209,4964,911,3557,791,10557,1212,4433,965,2947,584,3177,666,17633,1545,2959,812,2098,552,12576,1185
0500000US41043,41043,"Linn County, Oregon",21794,1767,7599,1117,4782,850,2158,710,1454,614,1170,525,1362,449,492,254,408,306,462,285,1455,751,1116,698,234,244,105,177,14195,1461,4702,1131,2706,902,1068,462,928,376,3444,1003,1913,789,304,258,1227,484,6049,857,854,404,357,238,4838,801
