GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Married-couple family:,Margin of Error; Married-couple family:,Estimate; Married-couple family: - With own children under 18 years:,Margin of Error; Married-couple family: - With own children under 18 years:,Estimate; Married-couple family: - With own children under 18 years: - Under 6 years only,Margin of Error; Married-couple family: - With own children under 18 years: - Under 6 years only,Estimate; Married-couple family: - With own children under 18 years: - Under 6 years and 6 to 17 years,Margin of Error; Married-couple family: - With own children under 18 years: - Under 6 years and 6 to 17 years,Estimate; Married-couple family: - With own children under 18 years: - 6 to 17 years only,Margin of Error; Married-couple family: - With own children under 18 years: - 6 to 17 years only,Estimate; Married-couple family: - No own children under 18 years,Margin of Error; Married-couple family: - No own children under 18 years,Estimate; Other family:,Margin of Error; Other family:,"Estimate; Other family: - Male householder, no wife present:","Margin of Error; Other family: - Male householder, no wife present:","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years:","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years:","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years only","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years only","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - 6 to 17 years only","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years: - 6 to 17 years only","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years","Margin of Error; Other family: - Male householder, no wife present: - No own children under 18 years","Estimate; Other family: - Female householder, no husband present:","Margin of Error; Other family: - Female householder, no husband present:","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years:","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years:","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years only","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years only","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - 6 to 17 years only","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years: - 6 to 17 years only","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years","Margin of Error; Other family: - Female householder, no husband present: - No own children under 18 years"
0500000US41003,41003,"Benton County, Oregon",18147,1454,15564,1379,6406,946,1453,617,897,395,4056,750,9158,984,2583,880,689,393,125,205,0,200,0,200,125,205,564,349,1894,795,1231,705,54,75,33,58,1144,704,663,392
0500000US41005,41005,"Clackamas County, Oregon",104013,3368,82632,3314,33768,2320,7652,1439,6202,1245,19914,1688,48864,2663,21381,2106,6351,1487,2966,1051,426,389,339,324,2201,885,3385,1064,15030,1573,9051,1535,1167,557,1368,803,6516,1303,5979,1128
0500000US41017,41017,"Deschutes County, Oregon",40941,3029,32201,2728,10668,1679,2469,1023,1722,853,6477,1387,21533,2195,8740,2028,2374,1011,1808,944,1158,868,0,200,650,380,566,396,6366,1762,3161,1167,1165,704,202,283,1794,793,3205,1182
0500000US41019,41019,"Douglas County, Oregon",28750,1778,21342,1680,6591,1091,1150,504,1864,707,3577,968,14751,1437,7408,1457,2728,993,1609,740,356,332,518,563,735,509,1119,779,4680,1160,3145,1075,399,401,298,317,2448,974,1535,602
0500000US41029,41029,"Jackson County, Oregon",53853,2535,40325,2920,12259,2037,3405,1067,3079,1184,5775,1429,28066,1948,13528,1966,2903,979,1796,745,566,425,24,40,1206,568,1107,596,10625,1737,6270,1391,1365,640,1098,724,3807,1195,4355,998
0500000US41033,41033,"Josephine County, Oregon",21567,1808,16102,1819,4183,1110,954,566,644,416,2585,779,11919,1257,5465,1334,1307,568,559,332,223,223,0,200,336,258,748,476,4158,1199,1503,638,0,200,559,390,944,558,2655,999
0500000US41035,41035,"Klamath County, Oregon",17979,1612,13809,1503,4992,1086,1100,540,1200,504,2692,897,8817,1028,4170,1013,1540,637,802,464,303,291,194,266,305,219,738,417,2630,849,1304,630,201,206,78,131,1025,527,1326,542
0500000US41039,41039,"Lane County, Oregon",84801,2794,64030,2819,20585,2031,4324,1179,4461,927,11800,1621,43445,2539,20771,1911,5184,1069,2978,822,940,487,435,272,1603,615,2206,779,15587,1645,8258,1262,2189,800,1168,524,4901,1038,7329,1182
0500000US41043,41043,"Linn County, Oregon",29589,1774,21794,1767,7599,1117,1724,714,1346,582,4529,819,14195,1461,7795,1239,1740,721,611,385,236,262,17,30,358,274,1129,608,6055,1142,4177,1194,758,488,477,440,2942,1045,1878,598
0500000US41047,41047,"Marion County, Oregon",77502,2745,56781,2736,23667,1988,4490,1071,5736,1322,13441,1657,33114,2262,20721,2245,5658,1503,3372,1213,1197,807,885,743,1290,678,2286,881,15063,2298,9937,1864,2350,930,2170,990,5417,1368,5126,1250
0500000US41051,41051,"Multnomah County, Oregon",167374,4313,119905,4067,49333,3277,16221,1709,9996,1661,23116,2054,70572,3589,47469,3661,14685,2031,6870,1499,2016,824,244,281,4610,1363,7815,1411,32784,2898,18852,2544,3299,1031,3570,1307,11983,1930,13932,1649
0500000US41053,41053,"Polk County, Oregon",18810,1482,14554,1432,4084,995,631,406,985,593,2468,751,10470,1220,4256,1104,885,543,254,286,15,25,189,273,50,86,631,489,3371,993,2581,995,359,335,155,222,2067,1046,790,424
0500000US41059,41059,"Umatilla County, Oregon",18838,1384,14190,1184,5732,1066,993,560,1417,532,3322,731,8458,903,4648,979,1543,639,1029,551,222,272,275,318,532,378,514,280,3105,710,2236,666,516,428,749,477,971,504,869,432
0500000US41067,41067,"Washington County, Oregon",134554,3588,105512,3454,49441,2810,11461,1721,10854,1693,27126,2367,56071,3003,29042,2563,8473,1674,3972,1151,929,528,521,552,2522,840,4501,1154,20569,2043,11355,1682,1597,699,1182,522,8576,1613,9214,1347
0500000US41071,41071,"Yamhill County, Oregon",26062,1584,21388,1614,8889,1388,2233,807,2620,846,4036,932,12499,1159,4674,1093,1473,708,548,442,89,151,15,26,444,420,925,580,3201,857,2238,753,197,157,187,175,1854,716,963,444
