GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Housing units with a mortgage:
HD02_VD02,Margin of Error; Housing units with a mortgage:
HD01_VD03,Estimate; Housing units with a mortgage: - Less than 10.0 percent
HD02_VD03,Margin of Error; Housing units with a mortgage: - Less than 10.0 percent
HD01_VD04,Estimate; Housing units with a mortgage: - 10.0 to 14.9 percent
HD02_VD04,Margin of Error; Housing units with a mortgage: - 10.0 to 14.9 percent
HD01_VD05,Estimate; Housing units with a mortgage: - 15.0 to 19.9 percent
HD02_VD05,Margin of Error; Housing units with a mortgage: - 15.0 to 19.9 percent
HD01_VD06,Estimate; Housing units with a mortgage: - 20.0 to 24.9 percent
HD02_VD06,Margin of Error; Housing units with a mortgage: - 20.0 to 24.9 percent
HD01_VD07,Estimate; Housing units with a mortgage: - 25.0 to 29.9 percent
HD02_VD07,Margin of Error; Housing units with a mortgage: - 25.0 to 29.9 percent
HD01_VD08,Estimate; Housing units with a mortgage: - 30.0 to 34.9 percent
HD02_VD08,Margin of Error; Housing units with a mortgage: - 30.0 to 34.9 percent
HD01_VD09,Estimate; Housing units with a mortgage: - 35.0 to 39.9 percent
HD02_VD09,Margin of Error; Housing units with a mortgage: - 35.0 to 39.9 percent
HD01_VD10,Estimate; Housing units with a mortgage: - 40.0 to 49.9 percent
HD02_VD10,Margin of Error; Housing units with a mortgage: - 40.0 to 49.9 percent
HD01_VD11,Estimate; Housing units with a mortgage: - 50.0 percent or more
HD02_VD11,Margin of Error; Housing units with a mortgage: - 50.0 percent or more
HD01_VD12,Estimate; Housing units with a mortgage: - Not computed
HD02_VD12,Margin of Error; Housing units with a mortgage: - Not computed
HD01_VD13,Estimate; Housing units without a mortgage:
HD02_VD13,Margin of Error; Housing units without a mortgage:
HD01_VD14,Estimate; Housing units without a mortgage: - Less than 10.0 percent
HD02_VD14,Margin of Error; Housing units without a mortgage: - Less than 10.0 percent
HD01_VD15,Estimate; Housing units without a mortgage: - 10.0 to 14.9 percent
HD02_VD15,Margin of Error; Housing units without a mortgage: - 10.0 to 14.9 percent
HD01_VD16,Estimate; Housing units without a mortgage: - 15.0 to 19.9 percent
HD02_VD16,Margin of Error; Housing units without a mortgage: - 15.0 to 19.9 percent
HD01_VD17,Estimate; Housing units without a mortgage: - 20.0 to 24.9 percent
HD02_VD17,Margin of Error; Housing units without a mortgage: - 20.0 to 24.9 percent
HD01_VD18,Estimate; Housing units without a mortgage: - 25.0 to 29.9 percent
HD02_VD18,Margin of Error; Housing units without a mortgage: - 25.0 to 29.9 percent
HD01_VD19,Estimate; Housing units without a mortgage: - 30.0 to 34.9 percent
HD02_VD19,Margin of Error; Housing units without a mortgage: - 30.0 to 34.9 percent
HD01_VD20,Estimate; Housing units without a mortgage: - 35.0 to 39.9 percent
HD02_VD20,Margin of Error; Housing units without a mortgage: - 35.0 to 39.9 percent
HD01_VD21,Estimate; Housing units without a mortgage: - 40.0 to 49.9 percent
HD02_VD21,Margin of Error; Housing units without a mortgage: - 40.0 to 49.9 percent
HD01_VD22,Estimate; Housing units without a mortgage: - 50.0 percent or more
HD02_VD22,Margin of Error; Housing units without a mortgage: - 50.0 percent or more
HD01_VD23,Estimate; Housing units without a mortgage: - Not computed
HD02_VD23,Margin of Error; Housing units without a mortgage: - Not computed
