GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Male:,Margin of Error; Income in the past 12 months below poverty level: - Male:,Estimate; Income in the past 12 months below poverty level: - Male: - Less than high school graduate,Margin of Error; Income in the past 12 months below poverty level: - Male: - Less than high school graduate,Estimate; Income in the past 12 months below poverty level: - Male: - High school graduate (includes equivalency),Margin of Error; Income in the past 12 months below poverty level: - Male: - High school graduate (includes equivalency),"Estimate; Income in the past 12 months below poverty level: - Male: - Some college, associate's degree","Margin of Error; Income in the past 12 months below poverty level: - Male: - Some college, associate's degree",Estimate; Income in the past 12 months below poverty level: - Male: - Bachelor's degree or higher,Margin of Error; Income in the past 12 months below poverty level: - Male: - Bachelor's degree or higher,Estimate; Income in the past 12 months below poverty level: - Female:,Margin of Error; Income in the past 12 months below poverty level: - Female:,Estimate; Income in the past 12 months below poverty level: - Female: - Less than high school graduate,Margin of Error; Income in the past 12 months below poverty level: - Female: - Less than high school graduate,Estimate; Income in the past 12 months below poverty level: - Female: - High school graduate (includes equivalency),Margin of Error; Income in the past 12 months below poverty level: - Female: - High school graduate (includes equivalency),"Estimate; Income in the past 12 months below poverty level: - Female: - Some college, associate's degree","Margin of Error; Income in the past 12 months below poverty level: - Female: - Some college, associate's degree",Estimate; Income in the past 12 months below poverty level: - Female: - Bachelor's degree or higher,Margin of Error; Income in the past 12 months below poverty level: - Female: - Bachelor's degree or higher,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Male:,Margin of Error; Income in the past 12 months at or above poverty level: - Male:,Estimate; Income in the past 12 months at or above poverty level: - Male: - Less than high school graduate,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Less than high school graduate,Estimate; Income in the past 12 months at or above poverty level: - Male: - High school graduate (includes equivalency),Margin of Error; Income in the past 12 months at or above poverty level: - Male: - High school graduate (includes equivalency),"Estimate; Income in the past 12 months at or above poverty level: - Male: - Some college, associate's degree","Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Some college, associate's degree",Estimate; Income in the past 12 months at or above poverty level: - Male: - Bachelor's degree or higher,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Bachelor's degree or higher,Estimate; Income in the past 12 months at or above poverty level: - Female:,Margin of Error; Income in the past 12 months at or above poverty level: - Female:,Estimate; Income in the past 12 months at or above poverty level: - Female: - Less than high school graduate,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Less than high school graduate,Estimate; Income in the past 12 months at or above poverty level: - Female: - High school graduate (includes equivalency),Margin of Error; Income in the past 12 months at or above poverty level: - Female: - High school graduate (includes equivalency),"Estimate; Income in the past 12 months at or above poverty level: - Female: - Some college, associate's degree","Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Some college, associate's degree",Estimate; Income in the past 12 months at or above poverty level: - Female: - Bachelor's degree or higher,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Bachelor's degree or higher
0500000US41001,41001,"Baker County, Oregon",11416,112,1470,248,598,136,108,62,209,77,249,89,32,24,872,152,192,69,279,88,314,95,87,65,9946,235,4945,142,506,120,1417,179,1817,185,1205,145,5001,151,416,95,1580,172,1913,201,1092,162
0500000US41003,41003,"Benton County, Oregon",50855,192,6094,556,3031,353,555,162,682,172,1046,226,748,160,3063,346,475,157,486,149,1078,217,1024,205,44761,543,21831,344,899,208,3108,348,5807,453,12017,509,22930,359,800,194,3496,336,6957,505,11677,570
0500000US41005,41005,"Clackamas County, Oregon",260806,227,21222,1080,8816,669,1768,283,3166,437,2734,415,1148,242,12406,648,2091,354,3587,433,4683,487,2045,322,239584,1124,116848,705,8649,627,26395,1165,41651,1148,40153,1110,122736,677,7130,592,28733,992,47103,1040,39770,1093
0500000US41007,41007,"Clatsop County, Oregon",26241,146,3553,454,1433,264,199,91,538,178,631,169,65,40,2120,264,376,182,564,139,964,186,216,91,22688,478,11280,275,813,159,2953,269,4536,324,2978,316,11408,287,802,179,2918,272,4821,341,2867,341
0500000US41009,41009,"Columbia County, Oregon",33858,177,3468,494,1493,300,292,110,668,191,350,119,183,88,1975,303,538,167,509,146,744,184,184,78,30390,506,15073,331,1525,237,4884,377,5979,396,2685,335,15317,301,1120,196,5140,409,5967,419,3090,322
0500000US41011,41011,"Coos County, Oregon",45528,215,6843,558,3115,344,640,177,1257,282,1018,263,200,110,3728,390,625,159,1229,213,1546,290,328,145,38685,577,18891,354,2440,338,5707,430,6576,439,4168,379,19794,411,1708,315,6110,501,8439,564,3537,381
0500000US41013,41013,"Crook County, Oregon",15193,80,2325,325,934,204,161,76,467,153,225,98,81,49,1391,196,417,141,547,162,319,122,108,68,12868,309,6422,188,769,157,2344,266,2251,297,1058,199,6446,203,945,173,2104,212,2451,282,946,196
0500000US41015,41015,"Curry County, Oregon",17430,132,2253,472,936,264,252,156,399,174,266,130,19,22,1317,314,114,78,511,180,555,197,137,101,15177,520,7402,289,584,145,2167,315,2856,349,1795,310,7775,341,548,141,2282,287,3280,341,1665,269
0500000US41017,41017,"Deschutes County, Oregon",112239,224,13071,1083,5888,629,901,272,1571,322,2474,447,942,274,7183,700,1145,288,1691,326,3383,500,964,241,99168,1098,48563,641,2862,415,10745,784,17943,892,17013,862,50605,691,2769,395,11466,654,20375,903,15995,794
0500000US41019,41019,"Douglas County, Oregon",77185,225,11625,958,4987,559,1316,235,1658,318,1730,301,283,137,6638,585,1163,248,2152,340,2884,369,439,154,65560,978,32324,578,3852,344,9969,534,12469,640,6034,492,33236,590,3090,378,10977,579,13441,666,5728,459
0500000US41021,41021,"Gilliam County, Oregon",1412,69,166,52,66,26,12,12,31,19,20,16,3,5,100,35,14,12,40,24,43,26,3,5,1246,74,665,54,68,35,216,52,294,57,87,33,581,52,34,19,209,39,226,48,112,32
0500000US41023,41023,"Grant County, Oregon",5445,41,805,165,312,89,104,67,81,38,84,44,43,36,493,98,119,67,154,61,174,49,46,33,4640,169,2333,93,209,60,791,105,807,111,526,102,2307,105,122,41,769,115,901,111,515,106
0500000US41025,41025,"Harney County, Oregon",5136,109,646,154,270,93,78,42,64,34,126,85,2,6,376,90,82,57,162,56,109,58,23,23,4490,154,2221,93,220,82,823,131,801,121,377,110,2269,96,236,96,876,129,748,128,409,101
0500000US41027,41027,"Hood River County, Oregon",14819,95,1240,290,516,169,158,95,235,131,91,60,32,36,724,159,205,122,252,104,184,74,83,56,13579,308,6806,185,1238,164,1728,210,1643,266,2197,259,6773,178,771,158,1717,249,2052,314,2233,278
0500000US41029,41029,"Jackson County, Oregon",142587,275,20007,1288,9038,643,1934,365,2864,338,3213,461,1027,215,10969,876,1969,373,2890,416,4503,469,1607,398,122580,1273,59412,621,6238,611,15406,967,21911,897,15857,781,63168,889,5235,528,17665,877,23289,913,16979,683
0500000US41031,41031,"Jefferson County, Oregon",13559,252,1865,300,728,158,190,82,154,81,297,97,87,78,1137,221,351,131,314,87,410,122,62,68,11694,351,5957,239,852,172,2130,242,1859,236,1116,197,5737,221,620,148,1858,247,2102,232,1157,183
0500000US41033,41033,"Josephine County, Oregon",59506,189,9874,803,4529,434,831,195,1727,304,1656,313,315,116,5345,517,857,208,2013,322,2025,331,450,152,49632,802,23682,472,2679,388,7068,494,9159,567,4776,403,25950,519,2456,291,8137,567,10733,650,4624,483
0500000US41035,41035,"Klamath County, Oregon",45237,140,7139,647,3262,327,704,148,1087,205,1295,242,176,93,3877,417,962,198,1409,272,1333,244,173,81,38098,670,18974,328,2074,275,6010,483,6491,444,4399,364,19124,424,1787,211,5934,466,7239,427,4164,354
0500000US41037,41037,"Lake County, Oregon",5563,153,914,227,362,107,63,55,181,91,107,52,11,17,552,159,159,100,125,59,211,82,57,40,4649,279,2460,166,429,94,812,136,667,119,552,122,2189,171,268,107,711,131,736,127,474,109
