GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Income in the past 12 months below poverty level:
HD02_VD02,Margin of Error; Income in the past 12 months below poverty level:
HD01_VD03,Estimate; Income in the past 12 months below poverty level: - Married-couple family:
HD02_VD03,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family:
HD01_VD05,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - No own child
HD02_VD05,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - No own child
HD01_VD06,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With own children
HD02_VD06,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With own children
HD01_VD07,Estimate; Income in the past 12 months below poverty level: - Other families:
HD02_VD07,Margin of Error; Income in the past 12 months below poverty level: - Other families:
HD01_VD08,"Estimate; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present:"
HD02_VD08,"Margin of Error; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present:"
HD01_VD09,"Estimate; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - No own child"
HD02_VD09,"Margin of Error; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - No own child"
HD01_VD10,"Estimate; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - With own children"
HD02_VD10,"Margin of Error; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - With own children"
HD01_VD11,"Estimate; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present:"
HD02_VD11,"Margin of Error; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present:"
HD01_VD12,"Estimate; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - No own child"
HD02_VD12,"Margin of Error; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - No own child"
HD01_VD13,"Estimate; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - With own children"
HD02_VD13,"Margin of Error; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - With own children"
HD01_VD14,Estimate; Income in the past 12 months at or above poverty level:
HD02_VD14,Margin of Error; Income in the past 12 months at or above poverty level:
HD01_VD16,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family:
HD02_VD16,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family:
HD01_VD17,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - No own child
HD02_VD17,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - No own child
HD01_VD18,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With own children
HD02_VD18,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With own children
HD01_VD19,Estimate; Income in the past 12 months at or above poverty level: - Other families:
HD02_VD19,Margin of Error; Income in the past 12 months at or above poverty level: - Other families:
HD01_VD20,"Estimate; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present:"
HD02_VD20,"Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present:"
HD01_VD21,"Estimate; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - No own child"
HD02_VD21,"Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - No own child"
HD01_VD22,"Estimate; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - With own children"
HD02_VD22,"Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - With own children"
HD01_VD23,"Estimate; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present:"
HD02_VD23,"Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present:"
HD01_VD24,"Estimate; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - No own child"
HD02_VD24,"Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - No own child"
HD01_VD25,"Estimate; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - With own children"
HD02_VD25,"Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - With own children"
