GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below the poverty level:,Margin of Error; Income in the past 12 months below the poverty level:,"Estimate; Income in the past 12 months below the poverty level: - Worked full-time, year-round:","Margin of Error; Income in the past 12 months below the poverty level: - Worked full-time, year-round:","Estimate; Income in the past 12 months below the poverty level: - Worked full-time, year-round: - Nonfamily householder","Margin of Error; Income in the past 12 months below the poverty level: - Worked full-time, year-round: - Nonfamily householder","Estimate; Income in the past 12 months below the poverty level: - Worked full-time, year-round: - Other","Margin of Error; Income in the past 12 months below the poverty level: - Worked full-time, year-round: - Other","Estimate; Income in the past 12 months below the poverty level: - Worked less than full-time, year-round:","Margin of Error; Income in the past 12 months below the poverty level: - Worked less than full-time, year-round:","Estimate; Income in the past 12 months below the poverty level: - Worked less than full-time, year-round: - Nonfamily householder","Margin of Error; Income in the past 12 months below the poverty level: - Worked less than full-time, year-round: - Nonfamily householder","Estimate; Income in the past 12 months below the poverty level: - Worked less than full-time, year-round: - Other","Margin of Error; Income in the past 12 months below the poverty level: - Worked less than full-time, year-round: - Other",Estimate; Income in the past 12 months below the poverty level: - Did not work:,Margin of Error; Income in the past 12 months below the poverty level: - Did not work:,Estimate; Income in the past 12 months below the poverty level: - Did not work: - Nonfamily householder,Margin of Error; Income in the past 12 months below the poverty level: - Did not work: - Nonfamily householder,Estimate; Income in the past 12 months below the poverty level: - Did not work: - Other,Margin of Error; Income in the past 12 months below the poverty level: - Did not work: - Other,Estimate; Income in the past 12 months at or above the poverty level:,Margin of Error; Income in the past 12 months at or above the poverty level:,"Estimate; Income in the past 12 months at or above the poverty level: - Worked full-time, year-round:","Margin of Error; Income in the past 12 months at or above the poverty level: - Worked full-time, year-round:","Estimate; Income in the past 12 months at or above the poverty level: - Worked full-time, year-round: - Nonfamily householder","Margin of Error; Income in the past 12 months at or above the poverty level: - Worked full-time, year-round: - Nonfamily householder","Estimate; Income in the past 12 months at or above the poverty level: - Worked full-time, year-round: - Other","Margin of Error; Income in the past 12 months at or above the poverty level: - Worked full-time, year-round: - Other","Estimate; Income in the past 12 months at or above the poverty level: - Worked less than full-time, year-round:","Margin of Error; Income in the past 12 months at or above the poverty level: - Worked less than full-time, year-round:","Estimate; Income in the past 12 months at or above the poverty level: - Worked less than full-time, year-round: - Nonfamily householder","Margin of Error; Income in the past 12 months at or above the poverty level: - Worked less than full-time, year-round: - Nonfamily householder","Estimate; Income in the past 12 months at or above the poverty level: - Worked less than full-time, year-round: - Other","Margin of Error; Income in the past 12 months at or above the poverty level: - Worked less than full-time, year-round: - Other",Estimate; Income in the past 12 months at or above the poverty level: - Did not work:,Margin of Error; Income in the past 12 months at or above the poverty level: - Did not work:,Estimate; Income in the past 12 months at or above the poverty level: - Did not work: - Nonfamily householder,Margin of Error; Income in the past 12 months at or above the poverty level: - Did not work: - Nonfamily householder,Estimate; Income in the past 12 months at or above the poverty level: - Did not work: - Other,Margin of Error; Income in the past 12 months at or above the poverty level: - Did not work: - Other
0500000US41001,41001,"Baker County, Oregon",3276,304,1074,225,37,31,19,17,18,24,450,164,257,108,193,108,587,155,393,102,194,93,2202,224,674,147,519,126,155,71,480,109,393,108,87,48,1048,156,936,148,112,49
0500000US41003,41003,"Benton County, Oregon",25458,1044,12313,705,546,183,361,159,185,95,7563,707,3040,363,4523,547,4204,524,2133,324,2071,392,13145,752,5681,516,3881,354,1800,285,3948,432,2370,275,1578,302,3516,384,2901,302,615,216
0500000US41005,41005,"Clackamas County, Oregon",65512,1996,14428,953,756,255,317,134,439,183,5277,506,2345,368,2932,401,8395,713,3898,439,4497,598,51084,1757,24873,1320,17350,957,7523,721,10833,720,6918,598,3915,422,15378,792,13736,707,1642,289
0500000US41007,41007,"Clatsop County, Oregon",8254,661,1920,362,176,102,110,70,66,55,809,215,326,115,483,171,935,266,504,160,431,225,6334,537,2597,344,1895,289,702,184,1602,232,1053,182,549,179,2135,235,1983,221,152,64
0500000US41009,41009,"Columbia County, Oregon",7685,514,2241,300,73,43,13,15,60,41,639,181,312,118,327,122,1529,272,827,179,702,177,5444,464,2284,320,1589,248,695,174,1205,234,795,152,410,167,1955,243,1808,225,147,73
0500000US41011,41011,"Coos County, Oregon",14673,1015,5072,683,181,106,95,84,86,60,1919,442,842,274,1077,288,2972,438,1738,297,1234,292,9601,708,3583,430,2447,309,1136,230,2104,323,1513,315,591,186,3914,394,3538,350,376,139
0500000US41013,41013,"Crook County, Oregon",3885,390,1081,227,41,46,28,43,13,16,307,125,118,72,189,89,733,167,509,159,224,91,2804,345,868,218,533,160,335,149,667,184,534,152,133,83,1269,236,1117,215,152,78
0500000US41015,41015,"Curry County, Oregon",5868,646,1830,407,0,22,0,22,0,22,723,203,241,111,482,159,1107,340,683,250,424,181,4038,475,1280,303,978,243,302,127,776,247,592,193,184,130,1982,297,1697,264,285,127
0500000US41017,41017,"Deschutes County, Oregon",32442,1415,7619,723,281,162,185,117,96,94,3034,508,1248,304,1786,430,4304,500,2329,369,1975,378,24823,1277,10977,924,6742,646,4235,634,6620,763,4291,542,2329,443,7226,657,6420,588,806,228
