GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Households with one or more people under 18 years:
HD02_VD02,Margin of Error; Households with one or more people under 18 years:
HD01_VD03,Estimate; Households with one or more people under 18 years: - Family households:
HD02_VD03,Margin of Error; Households with one or more people under 18 years: - Family households:
HD01_VD04,Estimate; Households with one or more people under 18 years: - Family households: - Married-couple family
HD02_VD04,Margin of Error; Households with one or more people under 18 years: - Family households: - Married-couple family
HD01_VD05,Estimate; Households with one or more people under 18 years: - Family households: - Other family:
HD02_VD05,Margin of Error; Households with one or more people under 18 years: - Family households: - Other family:
HD01_VD06,"Estimate; Households with one or more people under 18 years: - Family households: - Other family: - Male householder, no wife present"
HD02_VD06,"Margin of Error; Households with one or more people under 18 years: - Family households: - Other family: - Male householder, no wife present"
HD01_VD07,"Estimate; Households with one or more people under 18 years: - Family households: - Other family: - Female householder, no husband present"
HD02_VD07,"Margin of Error; Households with one or more people under 18 years: - Family households: - Other family: - Female householder, no husband present"
HD01_VD08,Estimate; Households with one or more people under 18 years: - Nonfamily households:
HD02_VD08,Margin of Error; Households with one or more people under 18 years: - Nonfamily households:
HD01_VD09,Estimate; Households with one or more people under 18 years: - Nonfamily households: - Male householder
HD02_VD09,Margin of Error; Households with one or more people under 18 years: - Nonfamily households: - Male householder
HD01_VD10,Estimate; Households with one or more people under 18 years: - Nonfamily households: - Female householder
HD02_VD10,Margin of Error; Households with one or more people under 18 years: - Nonfamily households: - Female householder
HD01_VD11,Estimate; Households with no people under 18 years:
HD02_VD11,Margin of Error; Households with no people under 18 years:
HD01_VD12,Estimate; Households with no people under 18 years: - Family households:
HD02_VD12,Margin of Error; Households with no people under 18 years: - Family households:
HD01_VD13,Estimate; Households with no people under 18 years: - Family households: - Married-couple family
HD02_VD13,Margin of Error; Households with no people under 18 years: - Family households: - Married-couple family
HD01_VD14,Estimate; Households with no people under 18 years: - Family households: - Other family:
HD02_VD14,Margin of Error; Households with no people under 18 years: - Family households: - Other family:
HD01_VD15,"Estimate; Households with no people under 18 years: - Family households: - Other family: - Male householder, no wife present"
HD02_VD15,"Margin of Error; Households with no people under 18 years: - Family households: - Other family: - Male householder, no wife present"
HD01_VD16,"Estimate; Households with no people under 18 years: - Family households: - Other family: - Female householder, no husband present"
HD02_VD16,"Margin of Error; Households with no people under 18 years: - Family households: - Other family: - Female householder, no husband present"
HD01_VD17,Estimate; Households with no people under 18 years: - Nonfamily households:
HD02_VD17,Margin of Error; Households with no people under 18 years: - Nonfamily households:
HD01_VD18,Estimate; Households with no people under 18 years: - Nonfamily households: - Male householder
HD02_VD18,Margin of Error; Households with no people under 18 years: - Nonfamily households: - Male householder
HD01_VD19,Estimate; Households with no people under 18 years: - Nonfamily households: - Female householder
HD02_VD19,Margin of Error; Households with no people under 18 years: - Nonfamily households: - Female householder
